,ENRICHED IN MONOCYTES,INFLAMMATORY_RESPONSE,COMPLEMENT,CHEMOKINE_SIGNALING_PATHWAY,ENRICHED IN NEUTROPHILS (I),INTEGRIN_SIGNALING,ACTIVATED DENDRITIC CELL SIGNATURE,EPHRIN_RECEPTOR_SIGNALING,ACTIN_CYTOSKELETON_SIGNALING,IL-8_SIGNALING,MTORC1_SIGNALING,SENESE_HDAC1_AND_HDAC2_TARGETS_UP,PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,IL1_SIGNALING_PATHWAY,NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NEUREGULIN_SIGNALING,ERK_MAPK_SIGNALING,LU_AGING_BRAIN_DN,NEUROTROPHIN_SIGNALING_PATHWAY,SIGNALLING_TO_ERKS,ONCOSTATIN_M_SIGNALING,PID_IL8_CXCR2_PATHWAY,FIBRINOLYSIS,MACROPINOCYTOSIS_SIGNALING,TNFA_SIGNALING_VIA_NFKB,ENRICHED IN ANTIGEN PRESENTATION,INTERFERON_GAMMA_RESPONSE,INTERLEUKIN_12_FAMILY_SIGNALING,IL6_JAK_STAT3_SIGNALING,GLUTAMATE_METABOLISM,PID_IL8_CXCR1_PATHWAY,GM-CSF_SIGNALING,INSULIN_SIGNALING_PATHWAY,IL6_SIGNALING_PATHWAY,PI3K_AKT_SIGNALING,TGFB_PATHWAY,LXR_RXR_ACTIVATION,JAK_STAT_SIGNALING_PATHWAY.IPA,LEPTIN_SIGNALING_PATHWAY,CHEMOKINE_SIGNALING,MELATONIN_SIGNALING,HECKER_IFNB1_TARGETS,IL2_STAT5_SIGNALING,NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,COMPLEMENT_SYSTEM,GNRH_SIGNALING_PATHWAY,APOPTOSIS,IL-15_SIGNALING,M2 MACROPHAGES,DNMT3A_EXHAUSTION,JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,RENIN-ANGIOTENSIN_SIGNALING,JAK_STAT_SIGNALING,ROLE_OF_NFAT_IN_CARDIAC_HYPERTROPHY,PID_IFNG_PATHWAY,ERK5_SIGNALING,VIRAL_MYOCARDITIS,GO_AGING,TYPE_II_INTERFERON_SIGNALING,ROLE_OF_JAK1_AND_JAK3_IN_GAMMAC_CYTOKINE_SIGNALING,CORTICO-TROPIN-RELEASING_HORMONE,M1 MACROPHAGES,T CELL EXHAUSTION,TYPE_I_DIABETES_MELLITUS_SIGNALING,T_CELL_EXHAUSTION
Fatigue,3.2507406852000003,2.8477283804000004,3.2258988454000006,3.1283786121999997,3.1942720214,3.1924588376,2.8095206186,3.3012673078,3.1485065334,3.3514510634000003,3.2288457098000003,2.8679103681999996,3.2071944068000002,3.2466788102,3.2196420320000003,3.1444944696,3.1375724402000005,3.2265556448,3.3131185170000004,3.1620323594,2.8954507368,3.2572990263999997,3.2246731576000003,3.1193962944000004,3.0656259656,3.2473883026,3.3515852736,3.0251209357999995,3.2575132972,3.269429821,3.2106816562,3.1959478114,3.2990812247999997,3.3031245202,3.0654354346000003,3.2867184122,3.254072504,2.9204981294,2.8695653208,3.0310516326,3.2701060286,3.3034653132000003,3.2346490018000003,3.1570922099999996,3.2796017120000003,2.682578395,3.2826521489999996,3.2016220972,3.2313522376000003,3.3565268247999995,3.349640763,3.3703838368,3.2518196056,3.2278055514000004,3.2558960472000003,3.2473265622,3.1312746146,3.3050378366000004,3.2480439722,3.2480439722,3.1701610878000004,3.0607358884,3.2194625812000006,3.2826062516,3.2497221327999997
Pain,3.2551686439000003,2.8518906829999997,3.2142758285,3.1288346643000002,3.2009489951,3.1951082601999996,2.8182589585000004,3.2980791866000003,3.1386900266,3.3593797498,3.2545828055,2.8716284371,3.201642185,3.2442763280999998,3.1904529437,3.1424976132999998,3.1299299249,3.2264325976,3.3060138520000004,3.1545965263000006,2.9144427317000003,3.2582997759000003,3.2142360765999998,3.1049629404,3.0567843716,3.2440101944000004,3.3689480974999997,3.0169479781,3.2520175078999998,3.2710527998000005,3.2114095701,3.2014950307,3.2915716956000005,3.3044886631000003,3.0538892349999998,3.2860721624999996,3.2470639132000003,2.9060473797,2.8810823894,3.055158873,3.2670610390999997,3.3067146697000007,3.2209947910000003,3.1732698762,3.2862812193,2.6782106778,3.275244491,3.1861465035000003,3.2213444073999993,3.3591457503,3.3433504062,3.3625019231000004,3.2474929332,3.2291942072,3.2662243537,3.2382174793,3.1117365965,3.3065623117,3.2409744165999994,3.2409744165999994,3.1590563064,3.0286860935,3.2119863239000006,3.2933134098000005,3.248761632
Headache,3.2581457015,2.856057472333333,3.2134327688333335,3.1322056134999996,3.204272517833333,3.198068949,2.8299270416666666,3.299643440666667,3.1383468273333333,3.361420981166667,3.2579840525,2.868654260333333,3.203180099666667,3.2471645171666665,3.1834196936666666,3.144171356833333,3.1213879585,3.2260199778333334,3.3087561228333335,3.1567126315,2.9223804666666666,3.2582318204999994,3.212277084166667,3.1051601381666667,3.0551879586666666,3.243024748333333,3.372672008,3.0080410811666667,3.252747573666667,3.2745536478333332,3.2073461753333334,3.197540586,3.2867955621666667,3.3003512513333337,3.0477959460000004,3.289322445833333,3.248198487,2.904314468666666,2.873543448333333,3.055378891,3.266782956,3.3082715048333333,3.2226885186666667,3.1715863365000003,3.2932466595,2.671649014333333,3.2747844681666667,3.1818902384999994,3.217557734333333,3.3619584430000002,3.3442533808333335,3.362224790166666,3.248604385,3.2338250429999995,3.2679331798333333,3.237950398666667,3.1092999566666664,3.3077931118333335,3.2401667093333337,3.2401667093333337,3.1618662156666666,3.016270470333333,3.2098345355000006,3.293761617833333,3.2405933179999997
Fever,3.25342525425,2.8720777562499995,3.2254008407500003,3.145566981,3.2092159405,3.2042406625,2.84335823825,3.30519330475,3.14530597325,3.358843493,3.2560177279999998,2.8791207175,3.20650222275,3.2474175025000003,3.199243709,3.14856478725,3.114682792,3.2280671367500005,3.3140189700000002,3.1660557035000005,2.9514576037499998,3.2642103424999998,3.2205660295,3.1225783355,3.0639704104999996,3.2542177255,3.36753934575,3.02744199325,3.2543082552500002,3.2745838147500006,3.21743972825,3.1956162372499994,3.2939600495,3.30180566175,3.05759755825,3.29444961,3.25063725025,2.9248613215,2.88923509425,3.0469486917500004,3.271530654,3.3073114565,3.2276128177500003,3.1642939355,3.2911132339999996,2.6852059725,3.27729500275,3.1859258775,3.2225360642500003,3.3633748399999996,3.34814198025,3.3673854455,3.2536508534999995,3.241455131,3.2674595975000003,3.24352692225,3.1225122875,3.3090537529999997,3.2482462305,3.2482462305,3.16764941325,3.0428740244999997,3.21691933275,3.29866648225,3.2370853475
Cough,3.257386911,2.8638343123999994,3.2169432004000003,3.1412304989999997,3.2079714366,3.2009824395999997,2.8368122567999996,3.3039856800000003,3.1412346308,3.3611825690000003,3.259754537,2.8800475029999997,3.2048310375999995,3.2478302987999994,3.1889921919999997,3.1467885646000004,3.1170790996,3.2277853874,3.3116861207999997,3.1600117462,2.9380001271999996,3.2636252346,3.2169448764000004,3.1134427957999997,3.0580929092,3.2496287369999997,3.3710523403999995,3.0211433974,3.2537487329999997,3.2754232846,3.2122834086,3.1988837501999994,3.2916001674,3.3058108264000006,3.0541935259999997,3.2935112622,3.2477155870000005,2.9136706679999995,2.8863554228000003,3.0546795238000004,3.2702573139999997,3.3091770194,3.223532763,3.1684153351999997,3.2939671413999996,2.6801744652,3.2758996384,3.1826886429999997,3.2205605742000003,3.3625397571999995,3.3463799425999996,3.3645337183999997,3.2519056192,3.239592736,3.2695697386,3.241071471,3.1129700309999997,3.3084156328,3.24185582,3.24185582,3.166650411,3.0288201797999994,3.2128841598,3.2994164685999996,3.239167635
Shortness of Breath,3.25342525425,2.8720777562499995,3.2254008407500003,3.145566981,3.2092159405,3.2042406625,2.84335823825,3.30519330475,3.14530597325,3.358843493,3.2560177279999998,2.8791207175,3.20650222275,3.2474175025000003,3.199243709,3.14856478725,3.114682792,3.2280671367500005,3.3140189700000002,3.1660557035000005,2.9514576037499998,3.2642103424999998,3.2205660295,3.1225783355,3.0639704104999996,3.2542177255,3.36753934575,3.02744199325,3.2543082552500002,3.2745838147500006,3.21743972825,3.1956162372499994,3.2939600495,3.30180566175,3.05759755825,3.29444961,3.25063725025,2.9248613215,2.88923509425,3.0469486917500004,3.271530654,3.3073114565,3.2276128177500003,3.1642939355,3.2911132339999996,2.6852059725,3.27729500275,3.1859258775,3.2225360642500003,3.3633748399999996,3.34814198025,3.3673854455,3.2536508534999995,3.241455131,3.2674595975000003,3.24352692225,3.1225122875,3.3090537529999997,3.2482462305,3.2482462305,3.16764941325,3.0428740244999997,3.21691933275,3.29866648225,3.2370853475
Chest Pain,3.247940943,2.8553671575,3.233403404,3.1387029687499997,3.19639554575,3.194698173,2.8130255317499997,3.30710107375,3.1546562142499996,3.34866056875,3.22377422975,2.8819659485,3.210261656,3.2473896105,3.2356632395,3.1478467575,3.136232487,3.2288963235,3.317871613,3.1674861847500004,2.90824288,3.2638075955,3.2336069162500003,3.1333086555,3.0718666554999996,3.2567341770000002,3.3442890055,3.04576879475,3.25995617725,3.26923591025,3.217687068,3.197228573,3.308158397,3.31064230625,3.07784228175,3.2913034242499997,3.25493738325,2.93623929375,2.884585757,3.024095609,3.27527974425,3.3033956585,3.238694428,3.1495049267499997,3.2770910774999997,2.69596755375,3.2860130320000005,3.2075530675,3.23855441325,3.355895563,3.35364581075,3.37530975875,3.2567499535,3.23351029475,3.2549324625,3.2535719435,3.141355872,3.3051271690000004,3.2521246762500002,3.2521246762500002,3.1782150500000004,3.08753937975,3.225681623,3.2868859735,3.25022223275
Brain Fog,3.2551281342000005,2.8610968594,3.2194967948,3.133869822,3.2045283372,3.2000928292,2.8337867838,3.2997410926,3.1410263406000003,3.3595974028,3.2546405084,2.8656341834,3.2041868602,3.2467011238,3.1905064076,3.1450688934000004,3.1203326842,3.2258922954,3.3100364026,3.1608879744,2.9300225157999997,3.2576212239999998,3.2142404482000004,3.1108120384,3.0593089695999995,3.2453751414000003,3.3701855457999996,3.0104594946,3.2529949596,3.2737081446000005,3.2104837844,3.1946579428,3.2877225468,3.2960552046000005,3.0492396558,3.2892353608000002,3.2506323975999996,2.9113957515999997,2.8732847906,3.0493340988,3.2671067563999996,3.3065979515999997,3.2257837136,3.168923417,3.2908194371999997,2.67396913,3.2756777256,3.1843203451999997,3.2185375584,3.3625102464000003,3.3452376986000005,3.3640443862,3.2493403256,3.2341614203999995,3.2659177551999994,3.2392905452000003,3.1161997470000005,3.3081791037999997,3.2449412156,3.2449412156,3.1617085784,3.0250036041999997,3.2124527490000006,3.2920306585999994,3.2392126245999995
Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal Pain,3.252659867166667,2.860799226833333,3.2264814325,3.140880157833333,3.2041795081666664,3.200144733166667,2.8269391855,3.305278009166667,3.1471948669999996,3.3528286308333333,3.2476500433333335,2.8799292431666665,3.2068096691666668,3.2475928941666665,3.208722218166667,3.1453462598333335,3.130540438666667,3.2299525255,3.313735191333333,3.1617533103333337,2.9280895034999994,3.2642999573333333,3.223730679333334,3.1212295905,3.063889163166666,3.254721211666667,3.3602238984999997,3.0321513024999995,3.256351982833333,3.2711141948333338,3.2173780855000005,3.1949972191666665,3.3002459125,3.3017792290000005,3.063045403166667,3.2920790131666666,3.2519821483333335,2.923901433833333,2.8859934076666662,3.0444480785000003,3.272984275166667,3.307352613666666,3.2289618205,3.1654158459999997,3.285080134333333,2.69790707,3.2792467428333336,3.1969844156666665,3.228266343833333,3.360372602,3.349935501833333,3.369296663,3.253758543,3.2363283263333336,3.2632440678333334,3.2469621939999995,3.1288485265,3.307002844500001,3.249208678333334,3.249208678333334,3.1684547553333338,3.0524930458333333,3.217852381,3.2956862474999995,3.242402122666667
Palpitations,3.247940943,2.8553671575,3.233403404,3.1387029687499997,3.19639554575,3.194698173,2.8130255317499997,3.30710107375,3.1546562142499996,3.34866056875,3.22377422975,2.8819659485,3.210261656,3.2473896105,3.2356632395,3.1478467575,3.136232487,3.2288963235,3.317871613,3.1674861847500004,2.90824288,3.2638075955,3.2336069162500003,3.1333086555,3.0718666554999996,3.2567341770000002,3.3442890055,3.04576879475,3.25995617725,3.26923591025,3.217687068,3.197228573,3.308158397,3.31064230625,3.07784228175,3.2913034242499997,3.25493738325,2.93623929375,2.884585757,3.024095609,3.27527974425,3.3033956585,3.238694428,3.1495049267499997,3.2770910774999997,2.69596755375,3.2860130320000005,3.2075530675,3.23855441325,3.355895563,3.35364581075,3.37530975875,3.2567499535,3.23351029475,3.2549324625,3.2535719435,3.141355872,3.3051271690000004,3.2521246762500002,3.2521246762500002,3.1782150500000004,3.08753937975,3.225681623,3.2868859735,3.25022223275
Sleep Disorders,3.2507406852000003,2.8477283804000004,3.2258988454000006,3.1283786121999997,3.1942720214,3.1924588376,2.8095206186,3.3012673078,3.1485065334,3.3514510634000003,3.2288457098000003,2.8679103681999996,3.2071944068000002,3.2466788102,3.2196420320000003,3.1444944696,3.1375724402000005,3.2265556448,3.3131185170000004,3.1620323594,2.8954507368,3.2572990263999997,3.2246731576000003,3.1193962944000004,3.0656259656,3.2473883026,3.3515852736,3.0251209357999995,3.2575132972,3.269429821,3.2106816562,3.1959478114,3.2990812247999997,3.3031245202,3.0654354346000003,3.2867184122,3.254072504,2.9204981294,2.8695653208,3.0310516326,3.2701060286,3.3034653132000003,3.2346490018000003,3.1570922099999996,3.2796017120000003,2.682578395,3.2826521489999996,3.2016220972,3.2313522376000003,3.3565268247999995,3.349640763,3.3703838368,3.2518196056,3.2278055514000004,3.2558960472000003,3.2473265622,3.1312746146,3.3050378366000004,3.2480439722,3.2480439722,3.1701610878000004,3.0607358884,3.2194625812000006,3.2826062516,3.2497221327999997
Neurological Symptoms,3.2507406852000003,2.8477283804000004,3.2258988454000006,3.1283786121999997,3.1942720214,3.1924588376,2.8095206186,3.3012673078,3.1485065334,3.3514510634000003,3.2288457098000003,2.8679103681999996,3.2071944068000002,3.2466788102,3.2196420320000003,3.1444944696,3.1375724402000005,3.2265556448,3.3131185170000004,3.1620323594,2.8954507368,3.2572990263999997,3.2246731576000003,3.1193962944000004,3.0656259656,3.2473883026,3.3515852736,3.0251209357999995,3.2575132972,3.269429821,3.2106816562,3.1959478114,3.2990812247999997,3.3031245202,3.0654354346000003,3.2867184122,3.254072504,2.9204981294,2.8695653208,3.0310516326,3.2701060286,3.3034653132000003,3.2346490018000003,3.1570922099999996,3.2796017120000003,2.682578395,3.2826521489999996,3.2016220972,3.2313522376000003,3.3565268247999995,3.349640763,3.3703838368,3.2518196056,3.2278055514000004,3.2558960472000003,3.2473265622,3.1312746146,3.3050378366000004,3.2480439722,3.2480439722,3.1701610878000004,3.0607358884,3.2194625812000006,3.2826062516,3.2497221327999997
Mental Health,3.2522008345,2.8283243154999997,3.2019022298333333,3.116430821333333,3.1916360131666663,3.1787811378333335,2.7888827133333334,3.29196733,3.127723485666667,3.3561967598333333,3.2236154453333334,2.821498612833333,3.1911424430000004,3.238538346666667,3.177910513,3.130091892,3.1237142055000002,3.2159560856666665,3.299390172666667,3.1446888731666665,2.8855381259999997,3.2468385078333335,3.2014231273333333,3.094493545,3.043193205,3.2249530859999997,3.3665652373333335,2.9774350189999996,3.2483989580000006,3.2668476305000005,3.1936575798333333,3.1935092938333334,3.281207011333333,3.2999132650000003,3.0379939970000005,3.2809644566666667,3.244407142333333,2.8778091391666667,2.8382130436666664,3.030579770833333,3.2578778865000007,3.3016752363333333,3.221117475666667,3.1614447261666663,3.285159888333333,2.6347547963333335,3.2737387675,3.168171054,3.210862081666667,3.3527497065000005,3.3342447453333333,3.3581335429999997,3.2377644095,3.2229799443333333,3.2596535178333332,3.230691936666666,3.0950670685,3.3027355323333336,3.2312986489999997,3.2312986489999997,3.1556401708333333,2.9991170159999996,3.199453606833334,3.2773290764999996,3.241624048
Skin Symptoms,3.2445079537500003,2.830478021,3.20810503225,3.1219047927499997,3.1902611835,3.17530894575,2.78179174575,3.29367913875,3.12937096075,3.351007161,3.20446481725,2.80838724625,3.1884457377499995,3.23447824675,3.190979938,3.1274455899999998,3.1181721625,3.2129712985000003,3.29997004475,3.1480200660000004,2.89619409275,3.2471203734999996,3.2042850942499994,3.10657844575,3.04597828,3.2271102320000002,3.35837918975,2.9815329,3.2477853317500003,3.26302478875,3.196906835,3.1895692989999995,3.28557722325,3.30114868225,3.0428946347500005,3.28191262625,3.24495023325,2.88510332725,2.83623948725,3.0097500115,3.25817304975,3.29741705375,3.22525625325,3.1490815199999997,3.27898307725,2.6298646455,3.27572645175,3.16534710075,3.21249258525,3.3495617352499996,3.3331290269999996,3.3612485747500003,3.23739089025,3.225187483,3.2550401045,3.23263922925,3.1011629552500004,3.30146738375,3.23494414,3.23494414,3.1583103460000004,3.017143843,3.2013479397499998,3.27401767025,3.2386314425
Oral Symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loss of Smell or Taste,3.24561686775,2.836731137,3.2132211677499996,3.1374063757500004,3.19498199425,3.18247209775,2.8240348280000003,3.3018027510000003,3.13515933625,3.34756473575,3.20007394725,2.81761351875,3.19225412175,3.2377372872500003,3.2044253355,3.13310151075,3.1216484435,3.21708538525,3.30549175325,3.1510715352500003,2.9307736697499998,3.26193997,3.2152696005,3.1084574257499997,3.0346082594999997,3.2274772157500005,3.34911425325,3.0072719442499998,3.250536786,3.26649619175,3.2111739575,3.1881282320000004,3.2954975605,3.30363459725,3.0517904775,3.2922356550000003,3.2403916497500003,2.901422905,2.8598118909999997,2.9775090565,3.27022211575,3.29751958025,3.227292133,3.1427170482499998,3.2786415645,2.63957572725,3.2782673625,3.18098110275,3.2229238782499996,3.3555761815,3.343115949,3.36683854225,3.24474963925,3.23088248975,3.25690382575,3.240829904,3.10535159775,3.3031813595,3.24003148125,3.24003148125,3.162299435,3.040389416,3.215211993,3.27700650625,3.25567262625
Edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision,3.2507406852000003,2.8477283804,3.2258988454000006,3.1283786122,3.1942720214000007,3.1924588376,2.8095206185999997,3.3012673078,3.1485065334,3.3514510634,3.2288457097999994,2.8679103681999996,3.2071944068000002,3.2466788102,3.2196420320000003,3.1444944696,3.1375724401999996,3.2265556448,3.3131185170000004,3.1620323594,2.8954507368,3.2572990263999997,3.2246731576000003,3.1193962944,3.0656259656,3.2473883025999997,3.3515852736,3.0251209358,3.2575132972,3.269429821,3.2106816562000007,3.1959478114,3.2990812247999997,3.3031245202,3.0654354346000003,3.2867184122,3.254072504,2.9204981294,2.8695653208,3.0310516326,3.2701060286,3.3034653132000003,3.2346490018000003,3.1570922099999996,3.2796017120000003,2.682578395,3.2826521490000005,3.2016220972,3.2313522376000003,3.3565268247999995,3.349640763,3.3703838368,3.2518196056,3.2278055514000004,3.2558960472000003,3.2473265622,3.1312746146,3.3050378365999995,3.2480439722,3.2480439722,3.1701610878,3.0607358884,3.2194625811999997,3.2826062516,3.2497221327999997
